Hamburguer,Combo Hamburguer com Fritas,25.99,100
Fritas,Fritas com Bacon,12.49,50
MilkShake,MilkShake com Chocolate,5.99,200
Cachorro Quente,Cachorro Quente Simples,8.99,80
Pizza,Margherita,29.99,30
Refrigerante,Refrigerante Lata,4.99,150
Salada,Salada Caesar,15.99,40
Hot Dog,Hot Dog Clássico,7.99,70
Cerveja,Cerveja Artesanal,9.99,60
Sorvete,Sorvete de Baunilha,6.49,100
Hamburguer,Combo Hamburguer com Fritas,25.99,100
Fritas,Fritas com Bacon,12.49,50
MilkShake,MilkShake com Chocolate,5.99,200
Cachorro Quente,Cachorro Quente Simples,8.99,80
Pizza,Margherita,29.99,30
Refrigerante,Refrigerante Lata,4.99,150
Salada,Salada Caesar,15.99,40
Hot Dog,Hot Dog Clássico,7.99,70
Cerveja,Cerveja Artesanal,9.99,60
Sorvete,Sorvete de Baunilha,6.49,100
Hamburguer,Combo Hamburguer com Fritas,25.99,100
Fritas,Fritas com Bacon,12.49,50
MilkShake,MilkShake com Chocolate,5.99,200
Cachorro Quente,Cachorro Quente Simples,8.99,80
Pizza,Margherita,29.99,30
Refrigerante,Refrigerante Lata,4.99,150
Salada,Salada Caesar,15.99,40
Hot Dog,Hot Dog Clássico,7.99,70
Cerveja,Cerveja Artesanal,9.99,60
Sorvete,Sorvete de Baunilha,6.49,100
Hamburguer,Combo Hamburguer com Fritas,25.99,100
Fritas,Fritas com Bacon,12.49,50
MilkShake,MilkShake com Chocolate,5.99,200
Cachorro Quente,Cachorro Quente Simples,8.99,80
Pizza,Margherita,29.99,30
Refrigerante,Refrigerante Lata,4.99,150
Salada,Salada Caesar,15.99,40
Hot Dog,Hot Dog Clássico,7.99,70
Cerveja,Cerveja Artesanal,9.99,60
Sorvete,Sorvete de Baunilha,6.49,100
Hamburguer,Combo Hamburguer com Fritas,25.99,100
Fritas,Fritas com Bacon,12.49,50
MilkShake,MilkShake com Chocolate,5.99,200
Cachorro Quente,Cachorro Quente Simples,8.99,80
Pizza,Margherita,29.99,30
Refrigerante,Refrigerante Lata,4.99,150
Salada,Salada Caesar,15.99,40
Hot Dog,Hot Dog Clássico,7.99,70
Cerveja,Cerveja Artesanal,9.99,60
Sorvete,Sorvete de Baunilha,6.49,100
